index,entry_timestamp,entry_price,exit_timestamp,exit_price,signal,remarks,profit_per_btc,capital,#units,profit_per_capital,tnc_cost,profit_after_tnc,cumulative_profit,roe_%
45390,2022-07-03 15:00:00,1053.12,2022-07-11 22:30:00,1098.1,1,Algo_Exit,44.98000000000002,1000,0.9495594044363417,42.71118201154667,1.5,41.21118201154667,4753.226805470241,4.121118201154666
45907,2022-07-14 09:30:00,1088.27,2022-08-10 21:30:00,1859.99,1,Algo_Exit,771.72,1000,0.9188896137906953,709.1254927545555,1.5,707.6254927545555,5460.852298224796,70.76254927545554
47563,2022-08-17 21:30:00,1839.01,2022-08-31 03:00:00,1609.03,2,Algo_Exit,229.98000000000002,1000,0.5437708332200477,125.05641622394658,1.5,123.55641622394658,5584.408714448742,12.355641622394659
49651,2022-09-30 09:30:00,1342.2,2022-10-23 22:00:00,1360.72,2,Algo_Exit,-18.519999999999982,1000,0.7450454477723141,-13.798241692743243,1.5,-15.298241692743243,5569.110472755999,-1.5298241692743244
51095,2022-10-30 11:30:00,1604.37,2022-11-08 02:30:00,1536.93,1,Algo_Exit,-67.43999999999983,1000,0.6232976183798002,-42.03519138353362,1.5,-43.53519138353362,5525.575281372465,-4.353519138353362
51510,2022-11-08 03:00:00,1525.96,2022-11-09 23:30:00,1101.49,2,Algo_Exit,424.47,1000,0.6553251723505203,278.1658759076254,1.5,276.6658759076254,5802.24115728009,27.666587590762536
53520,2022-12-20 00:00:00,1169.78,2022-12-28 05:30:00,1190.99,1,Algo_Exit,21.210000000000036,1000,0.8548615979072989,18.131614491613842,1.5,16.631614491613842,5818.872771771704,1.6631614491613842
54016,2022-12-30 08:00:00,1189.45,2023-01-14 00:30:00,1542.67,1,Algo_Exit,353.22,1000,0.8407247046954475,296.960780192526,1.5,295.460780192526,6114.33355196423,29.546078019252597
55872,2023-02-07 00:00:00,1621.15,2023-02-09 21:00:00,1559.7,1,Algo_Exit,-61.450000000000045,1000,0.6168460660642137,-37.905190759645954,1.5,-39.405190759645954,6074.928361204584,-3.9405190759645956
58142,2023-03-26 07:00:00,1752.97,2023-04-19 09:00:00,1980.85,1,Algo_Exit,227.87999999999988,1000,0.5704604186038552,129.99652019144645,1.5,128.49652019144645,6203.42488139603,12.849652019144644
60229,2023-05-08 18:30:00,1829.98,2023-05-12 05:30:00,1747.8,1,Algo_Exit,-82.18000000000006,1000,0.5464540596072088,-44.907594618520456,1.5,-46.407594618520456,6157.01728677751,-4.640759461852046
60702,2023-05-18 15:00:00,1808.36,2023-05-23 03:30:00,1864.95,2,Algo_Exit,-56.590000000000146,1000,0.5529872370545688,-31.293547744918126,1.5,-32.79354774491813,6124.223739032592,-3.2793547744918126
63105,2023-07-07 16:30:00,1871.98,2023-07-22 23:00:00,1855.12,1,Algo_Exit,-16.860000000000127,1000,0.534193741386126,-9.006506479770152,1.5,-10.506506479770152,6113.717232552822,-1.0506506479770152
64400,2023-08-03 16:00:00,1845.94,2023-08-15 19:00:00,1822.55,1,Algo_Exit,-23.3900000000001,1000,0.5417294169908015,-12.6710510634149,1.5,-14.1710510634149,6099.546181489407,-1.4171051063414901
66035,2023-09-06 17:30:00,1645.79,2023-09-11 08:30:00,1606.05,1,Algo_Exit,-39.74000000000001,1000,0.6076109345663785,-24.146458539667886,1.5,-25.646458539667886,6073.899722949739,-2.564645853966789
67393,2023-10-05 00:30:00,1649.52,2023-10-09 11:30:00,1589.76,1,Algo_Exit,-59.75999999999999,1000,0.606236965905233,-36.22872108249672,1.5,-37.72872108249672,6036.171001867242,-3.772872108249672
69314,2023-11-14 01:00:00,2048.99,2023-11-27 16:00:00,2012.06,1,Algo_Exit,-36.929999999999836,1000,0.48804532965021796,-18.023514023982468,1.5,-19.523514023982468,6016.647487843259,-1.9523514023982467
70604,2023-12-10 22:00:00,2369.23,2023-12-13 02:00:00,2167.27,1,Algo_Exit,-201.96000000000004,1000,0.42207805911625296,-85.24288481911846,1.5,-86.74288481911846,5929.904603024141,-8.674288481911846
